arm,query_mode,traversal,scope,metric,value,n
C,legacy,legacy_symmetric,type=CW,n,1172,1172
C,legacy,legacy_symmetric,type=CW,gold_frame_at_4,0.4197952218430034,1172
C,legacy,legacy_symmetric,type=CW,anchor_in_gold_at_1,0.31143344709897613,1172
C,legacy,legacy_symmetric,type=CW,mIoP,0.297130021331058,1172
C,legacy,legacy_symmetric,type=CW,mIoU,0.15921080460750855,1172
C,legacy,legacy_symmetric,type=CW,IoP@0.3,0.3728668941979522,1172
C,legacy,legacy_symmetric,type=CW,IoP@0.5,0.2977815699658703,1172
C,legacy,legacy_symmetric,type=CW,IoU@0.3,0.24573378839590443,1172
C,legacy,legacy_symmetric,type=CW,IoU@0.5,0.11433447098976109,1172
C,legacy,legacy_symmetric,type=CW,zero_width_count,0,1172
C,legacy,legacy_symmetric,type=CW,zero_width_rate,0.0,1172
C,legacy,legacy_symmetric,type=CW,invalid_span_count,0,1172
C,legacy,legacy_symmetric,type=CW,mean_pred_span_width,4.276507167235494,1172
C,legacy,legacy_symmetric,type=CW,median_retrieval_ms,16.2305,1172
C,legacy,legacy_symmetric,type=CW,p95_retrieval_ms,21.24985,1172
C,legacy,legacy_symmetric,type=CW,mean_ppr_calls,4.272184300341297,1172
C,legacy,legacy_symmetric,type=CW,max_ppr_calls,5,1172
C,legacy,legacy_symmetric,type=CW,avg_context_frames,8.0,1172
C,legacy,legacy_symmetric,type=CW,max_context_frames_observed,8,1172
C,legacy,legacy_symmetric,type=CH,n,392,392
C,legacy,legacy_symmetric,type=CH,gold_frame_at_4,0.47959183673469385,392
C,legacy,legacy_symmetric,type=CH,anchor_in_gold_at_1,0.34438775510204084,392
C,legacy,legacy_symmetric,type=CH,mIoP,0.3329132576530612,392
C,legacy,legacy_symmetric,type=CH,mIoU,0.1630253163265306,392
C,legacy,legacy_symmetric,type=CH,IoP@0.3,0.4005102040816326,392
C,legacy,legacy_symmetric,type=CH,IoP@0.5,0.34183673469387754,392
C,legacy,legacy_symmetric,type=CH,IoU@0.3,0.22704081632653061,392
C,legacy,legacy_symmetric,type=CH,IoU@0.5,0.12244897959183673,392
C,legacy,legacy_symmetric,type=CH,zero_width_count,0,392
